,python shell,c shell,ruby shell,c++ shell,c c++,objective-c shell,perl shell,c python,javascript python,c ruby,javascript ruby,c++ python,c javascript,c objective-c,c++ objective-c,java shell,c c++ shell,c++ javascript,c python shell,javascript python shell,python ruby,java python,objective-c ruby,c++ objective-c shell,objective-c python,c perl,php shell,c ruby shell,c++ ruby,java javascript
2010,27,24,17,17,11,9,18,24,18,14,16,13,17,10,6,9,7,10,12,11,17,9,5,5,10,12,5,7,6,9
2011,20,28,14,14,16,11,22,11,11,8,7,4,18,13,5,14,5,6,4,4,6,4,2,5,3,11,9,2,4,10
2012,35,34,22,23,22,20,29,13,12,8,13,9,19,19,14,7,9,11,8,7,14,8,3,11,8,14,7,3,5,6
2013,40,35,29,30,22,30,31,14,20,15,21,22,17,22,27,19,10,17,8,13,14,10,4,18,14,14,11,7,11,4
2014,35,38,31,34,29,24,25,16,12,20,23,12,14,18,20,12,14,10,12,7,7,7,5,14,8,14,14,9,11,5
2015,32,40,35,30,35,10,7,19,19,31,16,21,10,7,13,10,18,11,13,9,10,7,7,6,3,3,7,19,14,9
2016,33,34,40,21,18,15,14,15,15,19,19,15,12,13,16,12,8,10,8,10,8,12,10,7,12,8,7,12,5,9
2017,30,24,28,23,15,18,4,14,14,9,5,9,8,5,12,11,8,7,8,11,4,10,16,10,8,2,5,4,6,7
2018,54,36,39,28,20,15,13,20,20,11,13,13,15,15,5,15,12,9,14,17,10,14,9,4,12,6,6,5,8,5
2019,55,36,31,30,24,24,10,25,23,18,17,24,11,13,16,22,14,12,15,13,9,15,34,12,13,3,13,10,8,11
