combination,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
javascript shell,25,29,42,39,34,30,35,35,46,49
python shell,27,20,35,40,35,32,33,30,54,55
c shell,24,28,34,35,38,40,34,24,36,36
ruby shell,17,14,22,29,31,35,40,28,39,31
c++ shell,17,14,23,30,34,30,21,23,28,30
c c++,11,16,22,22,29,35,18,15,20,24
objective-c shell,9,11,20,30,24,10,15,18,15,24
perl shell,18,22,29,31,25,7,14,4,13,10
c python,24,11,13,14,16,19,15,14,20,25
javascript python,18,11,12,20,12,19,15,14,20,23
c ruby,14,8,8,15,20,31,19,9,11,18
javascript ruby,16,7,13,21,23,16,19,5,13,17
c++ python,13,4,9,22,12,21,15,9,13,24
c javascript,17,18,19,17,14,10,12,8,15,11
c objective-c,10,13,19,22,18,7,13,5,15,13
c++ objective-c,6,5,14,27,20,13,16,12,5,16
java shell,9,14,7,19,12,10,12,11,15,22
c c++ shell,7,5,9,10,14,18,8,8,12,14
c++ javascript,10,6,11,17,10,11,10,7,9,12
c python shell,12,4,8,8,12,13,8,8,14,15
javascript python shell,11,4,7,13,7,9,10,11,17,13
python ruby,17,6,14,14,7,10,8,4,10,9
java python,9,4,8,10,7,7,12,10,14,15
objective-c ruby,5,2,3,4,5,7,10,16,9,34
c++ objective-c shell,5,5,11,18,14,6,7,10,4,12
objective-c python,10,3,8,14,8,3,12,8,12,13
c perl,12,11,14,14,14,3,8,2,6,3
php shell,5,9,7,11,14,7,7,5,6,13
c ruby shell,7,2,3,7,9,19,12,4,5,10
c++ ruby,6,4,5,11,11,14,5,6,8,8
java javascript,9,10,6,4,5,9,9,7,5,11
c java,8,10,6,4,5,4,11,6,7,12
c javascript shell,5,5,11,10,5,7,8,6,10,6
java objective-c,2,3,4,9,7,6,8,6,11,14
c++ javascript shell,9,3,8,10,8,5,5,6,6,6
objective-c perl,4,7,14,14,8,2,6,4,5,2
javascript php,5,4,3,4,7,7,12,8,4,9
assembly c++,2,5,8,12,8,7,6,4,4,7
javascript objective-c,4,4,8,12,9,6,6,5,3,5
c++ java,5,5,2,7,8,6,7,2,6,12
python ruby shell,7,5,7,8,3,9,5,2,6,5
c javascript python,10,5,3,7,2,6,4,4,8,5
php python,9,6,7,5,5,3,5,3,3,8
c c++ javascript,4,2,5,8,4,7,6,3,7,6
c++ ruby shell,4,2,2,5,7,6,5,2,5,7
java ruby,7,2,6,5,3,6,2,4,5,4
php ruby,9,6,4,4,2,5,2,3,3,3
c c++ objective-c,3,2,3,7,6,3,5,2,2,7
c java python,5,2,2,3,2,2,3,4,3,6
java php,6,2,2,2,2,2,4,5,2,2
c c#,3,2,3,2,2,4,2,3,3,5
