language,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
javascript,354,378,419,388,366,381,377,426,401,471
ruby,442,295,208,238,225,213,206,157,154,116
shell,108,144,171,199,198,208,181,208,258,306
css,1,1,3,131,287,265,241,280,268,300
objective-c,124,155,198,240,215,206,189,151,121,87
python,165,147,159,162,142,128,138,144,189,222
java,45,80,97,107,143,199,198,187,176,146
c,146,164,153,133,132,108,104,73,88,92
c++,61,58,85,92,94,86,72,60,79,85
php,63,81,65,56,55,44,49,46,55,53
coffeescript,1,25,36,56,36,39,34,37,31,26
perl,39,33,53,58,34,17,18,11,20,19
go,2,3,7,13,26,29,35,25,56,75
c#,18,23,24,18,19,18,18,24,25,23
groovy,4,5,1,13,41,10,9,15,11,12
vim script,11,13,11,9,12,8,9,9,11,21
clojure,11,16,21,17,18,10,2,4,7,5
actionscript,21,26,16,12,7,10,2,6,2,3
assembly,2,10,16,21,9,10,7,9,9,12
scala,6,7,17,14,15,8,8,10,7,12
lua,7,9,9,8,6,5,4,15,18,16
emacs lisp,13,14,8,9,11,5,4,3,6,5
r,4,5,7,6,8,6,4,3,4,4
haskell,9,5,7,9,2,5,3,3,5,2
asp,3,6,7,6,4,3,3,2,5,4
