label_id,repository_count,cluster_topics,combinations
0,154,"['javascript', 'javascript library', 'library', 'javascript parser', 'javascript plugin', 'plugin', 'image', 'parser', 'graph', 'generation']","{'html javascript': 130, 'css javascript': 105, 'css html': 98, 'css html javascript': 97, 'javascript shell': 64, 'html shell': 49, 'html javascript shell': 49, 'css shell': 39, 'css javascript shell': 39, 'css html shell': 35, 'css html javascript shell': 35, 'javascript makefile': 21, 'html makefile': 15, 'html javascript makefile': 15, 'javascript python': 15, 'makefile shell': 14, 'javascript makefile shell': 14, 'css makefile': 13, 'css javascript makefile': 13, 'html python': 13, 'html javascript python': 13, 'css html makefile': 12, 'html makefile shell': 11, 'html javascript makefile shell': 11, 'css python': 11, 'css html python': 11, 'css javascript python': 11, 'css html javascript python': 11, 'javascript ruby': 11, 'css makefile shell': 10, 'batchfile html': 10, 'c++ html': 10, 'python shell': 10, 'javascript python shell': 10, 'html ruby': 10, 'html javascript ruby': 10, 'batchfile shell': 9, 'css html makefile shell': 9, 'html java': 9, 'dockerfile javascript': 9, 'html python shell': 9, 'html javascript python shell': 9, 'dockerfile shell': 8, 'dockerfile javascript shell': 8, 'c c++': 8, 'c html': 8, 'c shell': 8, 'css python shell': 8, 'css html python shell': 8, 'css javascript python shell': 8, 'css html javascript python shell': 8, 'batchfile html shell': 8, 'css ruby': 8, 'ruby shell': 8, 'css html ruby': 8, 'html ruby shell': 8, 'java shell': 7, 'html java shell': 7, 'c python': 7, 'c++ python': 7, 'c++ shell': 7, 'c c++ shell': 7, 'c html shell': 7, 'css dockerfile': 6, 'dockerfile html': 6, 'dockerfile html javascript': 6, 'c c++ python': 6, 'c python shell': 6, 'dockerfile html shell': 5, 'c++ makefile': 5, 'makefile python': 5, 'c++ makefile python': 5, 'c++ python shell': 5, 'c c++ python shell': 5, 'c makefile': 4, 'c c++ makefile': 4, 'c makefile python': 4, 'c makefile shell': 4, 'c++ makefile shell': 4, 'html makefile python': 4, 'makefile python shell': 4, 'c c++ makefile python': 4, 'c c++ makefile shell': 4, 'c makefile python shell': 4, 'c++ makefile python shell': 4, 'batchfile python': 4, 'c cmake': 3, 'c++ cmake': 3, 'cmake shell': 3, 'c c++ cmake': 3, 'c cmake shell': 3, 'c++ cmake shell': 3, 'dockerfile makefile': 3, 'dockerfile python': 3, 'dockerfile python shell': 3, 'c objective-c': 1, 'c++ objective-c': 1, 'objective-c shell': 1, 'c c++ objective-c': 1, 'c objective-c shell': 1}"
1,145,"['framework', 'javascript framework', 'stack framework', 'stack', 'automation', 'automation framework', 'javascript', 'server framework', 'browser', 'front framework']","{'html javascript': 75, 'css html': 72, 'css javascript': 69, 'css html javascript': 65, 'html shell': 57, 'javascript shell': 50, 'css shell': 49, 'css html shell': 45, 'html javascript shell': 44, 'css javascript shell': 42, 'python shell': 40, 'css html javascript shell': 40, 'makefile shell': 38, 'html python': 32, 'c shell': 28, 'batchfile shell': 27, 'makefile python': 26, 'html python shell': 26, 'html makefile': 26, 'css python': 26, 'javascript python': 26, 'css html python': 25, 'html javascript python': 25, 'ruby shell': 23, 'makefile python shell': 23, 'c c++': 23, 'html makefile shell': 23, 'java shell': 22, 'css javascript python': 22, 'css html javascript python': 22, 'c makefile': 21, 'css python shell': 21, 'javascript python shell': 21, 'c++ shell': 20, 'css html python shell': 20, 'html javascript python shell': 20, 'css makefile': 20, 'css html makefile': 20, 'c python': 19, 'c makefile shell': 19, 'html ruby': 19, 'batchfile html': 19, 'css makefile shell': 19, 'css html makefile shell': 19, 'c c++ shell': 18, 'dockerfile shell': 18, 'javascript makefile': 18, 'javascript makefile shell': 18, 'objective-c shell': 17, 'c python shell': 17, 'html java': 17, 'css javascript python shell': 17, 'css html javascript python shell': 17, 'c objective-c': 16, 'css ruby': 16, 'javascript ruby': 16, 'css html ruby': 16, 'html ruby shell': 16, 'html makefile python': 16, 'html javascript makefile': 16, 'html javascript makefile shell': 16, 'html javascript ruby': 15, 'c++ makefile': 15, 'batchfile python': 15, 'c html': 14, 'c++ python': 14, 'html java shell': 14, 'batchfile html shell': 14, 'dockerfile python': 14, 'c++ makefile shell': 14, 'css javascript makefile': 14, 'c objective-c shell': 13, 'c c++ python': 13, 'c++ python shell': 13, 'dockerfile python shell': 13, 'c c++ makefile': 13, 'dockerfile html': 13, 'c makefile python': 12, 'c html shell': 12, 'c c++ python shell': 12, 'c c++ makefile shell': 12, 'dockerfile html shell': 12, 'c makefile python shell': 11, 'c++ objective-c': 11, 'c c++ objective-c': 11, 'c++ cmake': 10, 'c++ html': 10, 'cmake shell': 10, 'dockerfile makefile': 10, 'css dockerfile': 10, 'c cmake': 9, 'c c++ cmake': 9, 'c++ cmake shell': 9, 'dockerfile javascript': 9, 'dockerfile html javascript': 9, 'dockerfile javascript shell': 9, 'c cmake shell': 8, 'c++ makefile python': 8, 'c++ makefile python shell': 8, 'c c++ makefile python': 7}"
2,70,"['repository', 'official', 'official repository', 'github', 'project', 'software', 'development', 'package repository', 'development repository', 'source']","{'python shell': 41, 'c shell': 33, 'makefile shell': 33, 'c c++': 32, 'makefile python': 31, 'c++ shell': 30, 'c c++ shell': 30, 'css javascript': 30, 'c python': 30, 'html javascript': 29, 'css html': 28, 'c++ python': 28, 'c python shell': 28, 'c makefile': 27, 'html shell': 27, 'c c++ python': 27, 'makefile python shell': 27, 'html python': 27, 'c++ makefile': 26, 'css html javascript': 26, 'c++ python shell': 26, 'c c++ python shell': 26, 'c c++ makefile': 25, 'c makefile shell': 24, 'javascript shell': 24, 'javascript python': 24, 'c++ makefile shell': 23, 'c c++ makefile shell': 23, 'c makefile python': 22, 'html python shell': 22, 'c objective-c': 21, 'c++ objective-c': 21, 'objective-c shell': 21, 'c c++ objective-c': 21, 'batchfile shell': 21, 'css shell': 21, 'c++ makefile python': 21, 'css python': 21, 'html makefile': 21, 'css javascript shell': 20, 'c c++ makefile python': 20, 'c makefile python shell': 20, 'css javascript python': 20, 'javascript python shell': 20, 'c objective-c shell': 19, 'html javascript shell': 19, 'c++ makefile python shell': 19, 'c html': 19, 'html javascript python': 19, 'css html shell': 18, 'dockerfile shell': 18, 'c++ html': 18, 'css html python': 18, 'css html javascript shell': 17, 'dockerfile python': 17, 'dockerfile python shell': 17, 'c html shell': 17, 'css python shell': 17, 'css html javascript python': 17, 'html makefile python': 17, 'css makefile': 17, 'javascript makefile': 17, 'java shell': 16, 'css javascript python shell': 16, 'html makefile shell': 16, 'css javascript makefile': 16, 'batchfile html': 15, 'ruby shell': 15, 'batchfile python': 15, 'html javascript python shell': 15, 'batchfile html shell': 14, 'css html python shell': 14, 'css html makefile': 14, 'html javascript makefile': 14, 'html ruby': 13, 'javascript ruby': 13, 'css html javascript python shell': 13, 'html javascript ruby': 12, 'dockerfile makefile': 12, 'c cmake': 12, 'c++ cmake': 12, 'c c++ cmake': 12, 'css makefile shell': 12, 'javascript makefile shell': 12, 'css ruby': 11, 'html java': 11, 'css html ruby': 11, 'html java shell': 10, 'html ruby shell': 10, 'cmake shell': 10, 'c cmake shell': 10, 'c++ cmake shell': 10, 'dockerfile html': 10, 'dockerfile html shell': 10, 'css html makefile shell': 10, 'html javascript makefile shell': 10, 'dockerfile javascript': 10, 'dockerfile javascript shell': 10, 'css dockerfile': 8, 'dockerfile html javascript': 7}"
3,179,"['source', 'project', 'engine', 'platform', 'source framework', 'source project', 'management', 'ecommerce', 'source engine', 'source ecommerce']","{'css html': 90, 'html javascript': 87, 'css shell': 86, 'javascript shell': 85, 'html shell': 84, 'css javascript': 82, 'python shell': 78, 'css html javascript': 74, 'css html shell': 72, 'makefile shell': 69, 'html javascript shell': 68, 'css javascript shell': 67, 'c shell': 64, 'c++ shell': 61, 'css html javascript shell': 60, 'c c++': 58, 'c c++ shell': 57, 'makefile python': 51, 'makefile python shell': 49, 'javascript python': 47, 'css python': 46, 'html python': 46, 'c python': 45, 'c++ python': 45, 'c++ python shell': 45, 'c makefile': 44, 'c python shell': 44, 'dockerfile shell': 43, 'css python shell': 43, 'javascript python shell': 43, 'c makefile shell': 43, 'html python shell': 42, 'batchfile shell': 42, 'objective-c shell': 42, 'ruby shell': 42, 'dockerfile javascript': 41, 'c objective-c': 41, 'c++ makefile': 41, 'c++ makefile shell': 41, 'c c++ python': 41, 'c c++ python shell': 41, 'c objective-c shell': 40, 'css ruby': 40, 'c c++ makefile': 39, 'c c++ makefile shell': 39, 'html ruby': 39, 'dockerfile html': 38, 'dockerfile javascript shell': 37, 'css html python': 37, 'c++ objective-c': 37, 'c c++ objective-c': 37, 'dockerfile html javascript': 36, 'css dockerfile': 35, 'html javascript python': 35, 'css makefile': 35, 'css html ruby': 35, 'dockerfile html shell': 34, 'css javascript python': 34, 'css html python shell': 34, 'javascript makefile': 34, 'javascript ruby': 34, 'html ruby shell': 34, 'java shell': 33, 'html makefile': 33, 'css makefile shell': 33, 'html javascript python shell': 32, 'html javascript ruby': 32, 'css javascript python shell': 31, 'javascript makefile shell': 31, 'c makefile python': 31, 'html makefile shell': 31, 'css html javascript python': 30, 'c++ cmake': 30, 'cmake shell': 30, 'c++ cmake shell': 30, 'c++ makefile python': 30, 'c makefile python shell': 30, 'c++ makefile python shell': 30, 'c c++ makefile python': 28, 'css html javascript python shell': 27, 'c cmake': 27, 'c c++ cmake': 27, 'c cmake shell': 27, 'css html makefile': 27, 'dockerfile python': 26, 'dockerfile python shell': 26, 'batchfile python': 25, 'html makefile python': 25, 'css html makefile shell': 25, 'css javascript makefile': 24, 'html javascript makefile': 23, 'batchfile html': 22, 'html javascript makefile shell': 22, 'c html': 20, 'batchfile html shell': 20, 'c html shell': 20, 'dockerfile makefile': 19, 'c++ html': 19, 'html java': 19, 'html java shell': 18}"
4,54,"['apache', 'apache kafka', 'apache cassandra', 'cassandra', 'kafka', 'apache cordova', 'cordova', 'guacamole', 'server', 'hadoop']","{'java shell': 38, 'html java': 36, 'html shell': 33, 'python shell': 32, 'html java shell': 32, 'css html': 31, 'css javascript': 30, 'html javascript': 29, 'css html javascript': 29, 'batchfile shell': 28, 'css shell': 28, 'batchfile html': 27, 'javascript shell': 26, 'css html shell': 26, 'css javascript shell': 25, 'batchfile html shell': 24, 'html javascript shell': 24, 'css html javascript shell': 24, 'dockerfile shell': 23, 'html python': 23, 'html python shell': 23, 'javascript python': 20, 'javascript python shell': 20, 'css python': 20, 'css python shell': 20, 'batchfile python': 19, 'css html python': 19, 'css javascript python': 19, 'css html python shell': 19, 'css javascript python shell': 19, 'css dockerfile': 18, 'dockerfile html': 18, 'dockerfile python': 18, 'dockerfile html shell': 18, 'dockerfile python shell': 18, 'html javascript python': 18, 'css html javascript python': 18, 'html javascript python shell': 18, 'css html javascript python shell': 18, 'c shell': 17, 'makefile shell': 17, 'c++ shell': 16, 'dockerfile javascript': 16, 'dockerfile javascript shell': 16, 'c python': 15, 'c++ python': 15, 'c++ python shell': 15, 'dockerfile html javascript': 15, 'c python shell': 14, 'makefile python': 13, 'makefile python shell': 13, 'c c++': 12, 'ruby shell': 12, 'c c++ shell': 12, 'c c++ python': 11, 'c c++ python shell': 11, 'c html': 11, 'c html shell': 11, 'javascript makefile': 10, 'javascript makefile shell': 10, 'c++ cmake': 10, 'cmake shell': 10, 'dockerfile makefile': 10, 'html makefile': 10, 'html ruby': 10, 'c++ cmake shell': 10, 'html makefile shell': 10, 'html ruby shell': 10, 'c makefile': 9, 'javascript ruby': 9, 'c makefile shell': 9, 'c++ html': 9, 'css makefile': 9, 'css ruby': 9, 'css html makefile': 9, 'css html ruby': 9, 'css javascript makefile': 9, 'css makefile shell': 9, 'html javascript makefile': 9, 'css html makefile shell': 9, 'html javascript makefile shell': 9, 'html javascript ruby': 8, 'html makefile python': 8, 'c cmake': 8, 'c c++ cmake': 8, 'c cmake shell': 8, 'c++ makefile': 7, 'c makefile python': 7, 'c++ makefile shell': 7, 'c makefile python shell': 7, 'objective-c shell': 7, 'c c++ makefile': 6, 'c++ makefile python': 6, 'c c++ makefile shell': 6, 'c++ makefile python shell': 6, 'c objective-c': 6, 'c objective-c shell': 6, 'c c++ makefile python': 5, 'c++ objective-c': 3, 'c c++ objective-c': 3}"
5,72,"['platform', 'cross', 'cross platform', 'engine', 'platform engine', 'suite', 'development', 'powerful cross', 'source cross', 'toolkit']","{'c++ shell': 41, 'c c++': 39, 'c shell': 39, 'batchfile shell': 37, 'makefile shell': 37, 'c c++ shell': 36, 'html shell': 35, 'python shell': 32, 'c makefile': 28, 'c++ makefile': 27, 'c makefile shell': 27, 'javascript shell': 26, 'c c++ makefile': 26, 'c++ makefile shell': 26, 'c++ cmake': 26, 'c++ python': 25, 'c c++ makefile shell': 25, 'cmake shell': 25, 'c++ cmake shell': 25, 'css shell': 24, 'css html': 24, 'batchfile html': 24, 'c++ objective-c': 24, 'c cmake': 24, 'c c++ cmake': 24, 'html javascript': 23, 'css html shell': 23, 'c python': 23, 'c c++ python': 23, 'c++ python shell': 23, 'c html': 23, 'c++ html': 23, 'batchfile html shell': 23, 'objective-c shell': 23, 'c cmake shell': 23, 'c objective-c': 23, 'css javascript': 22, 'html javascript shell': 22, 'c html shell': 22, 'c c++ objective-c': 22, 'makefile python': 21, 'c python shell': 21, 'c c++ python shell': 21, 'html makefile': 21, 'html python': 21, 'c objective-c shell': 21, 'batchfile python': 20, 'css javascript shell': 20, 'makefile python shell': 20, 'css html javascript': 20, 'html makefile shell': 20, 'html python shell': 20, 'css html javascript shell': 19, 'javascript python': 18, 'java shell': 18, 'javascript python shell': 17, 'c++ makefile python': 17, 'c makefile python': 16, 'c c++ makefile python': 16, 'c++ makefile python shell': 16, 'javascript makefile': 15, 'javascript makefile shell': 15, 'c makefile python shell': 15, 'html java': 15, 'css makefile': 14, 'css python': 14, 'css makefile shell': 14, 'css python shell': 14, 'html makefile python': 14, 'html java shell': 14, 'css html makefile': 13, 'html javascript makefile': 13, 'css html makefile shell': 13, 'html javascript makefile shell': 13, 'css html python': 13, 'html javascript python': 13, 'css html python shell': 13, 'html javascript python shell': 13, 'css javascript makefile': 12, 'ruby shell': 12, 'css javascript python': 11, 'css javascript python shell': 11, 'css html javascript python': 10, 'css html javascript python shell': 10, 'dockerfile shell': 9, 'html ruby': 8, 'javascript ruby': 8, 'css dockerfile': 7, 'dockerfile html': 7, 'dockerfile javascript': 7, 'dockerfile html javascript': 7, 'dockerfile makefile': 7, 'html javascript ruby': 7, 'html ruby shell': 7, 'dockerfile html shell': 6, 'dockerfile javascript shell': 6, 'css ruby': 6, 'css html ruby': 6, 'dockerfile python': 5, 'dockerfile python shell': 5}"
6,134,"['application', 'framework', 'application framework', 'server', 'application server', 'framework application', 'spring', 'source', 'management', 'android']","{'html javascript': 69, 'css html': 60, 'css javascript': 57, 'html shell': 55, 'css html javascript': 52, 'javascript shell': 45, 'html javascript shell': 40, 'css shell': 38, 'python shell': 36, 'css html shell': 35, 'java shell': 32, 'css javascript shell': 31, 'css html javascript shell': 30, 'makefile shell': 30, 'html java': 26, 'dockerfile shell': 25, 'html python': 25, 'dockerfile html': 24, 'dockerfile javascript': 24, 'dockerfile html javascript': 23, 'c shell': 23, 'javascript python': 22, 'html java shell': 22, 'html python shell': 20, 'batchfile shell': 20, 'css python': 19, 'html javascript python': 19, 'html makefile': 19, 'dockerfile javascript shell': 18, 'batchfile html': 18, 'makefile python': 18, 'css dockerfile': 17, 'dockerfile html shell': 17, 'javascript python shell': 17, 'c c++': 17, 'c++ shell': 17, 'javascript ruby': 17, 'html makefile shell': 17, 'css html python': 16, 'c python': 16, 'html ruby': 16, 'c c++ shell': 16, 'html javascript python shell': 15, 'javascript makefile': 15, 'html javascript ruby': 15, 'makefile python shell': 15, 'css javascript python': 14, 'c makefile': 14, 'ruby shell': 14, 'batchfile html shell': 14, 'c python shell': 14, 'css python shell': 13, 'css html javascript python': 13, 'c html': 13, 'c html shell': 13, 'c makefile shell': 13, 'html javascript makefile': 13, 'dockerfile python': 12, 'dockerfile python shell': 12, 'css makefile': 12, 'css ruby': 12, 'css html makefile': 12, 'css html python shell': 11, 'c++ python': 11, 'css html ruby': 11, 'css javascript makefile': 11, 'javascript makefile shell': 11, 'html javascript makefile shell': 11, 'c objective-c': 10, 'c++ makefile': 10, 'objective-c shell': 10, 'c c++ makefile': 10, 'c c++ python': 10, 'c++ python shell': 10, 'css makefile shell': 10, 'html makefile python': 10, 'css html makefile shell': 10, 'css javascript python shell': 9, 'css html javascript python shell': 9, 'batchfile python': 9, 'c++ html': 9, 'c++ makefile shell': 9, 'html ruby shell': 9, 'c c++ makefile shell': 9, 'c c++ python shell': 9, 'c makefile python': 8, 'c objective-c shell': 8, 'dockerfile makefile': 8, 'c++ objective-c': 7, 'c c++ objective-c': 7, 'c makefile python shell': 7, 'cmake shell': 7, 'c cmake': 6, 'c cmake shell': 6, 'c++ makefile python': 5, 'c c++ makefile python': 5, 'c++ cmake': 5, 'c++ cmake shell': 5, 'c++ makefile python shell': 4, 'c c++ cmake': 4}"
7,111,"['python', 'python library', 'library', 'python binding', 'binding', 'package', 'python implementation', 'python package', 'python framework', 'module']","{'python shell': 78, 'makefile python': 48, 'html python': 32, 'makefile shell': 32, 'makefile python shell': 31, 'c python': 27, 'batchfile python': 23, 'html shell': 23, 'c shell': 22, 'html python shell': 22, 'c python shell': 21, 'batchfile shell': 19, 'css python': 18, 'javascript python': 18, 'c++ python': 18, 'dockerfile python': 18, 'c c++': 16, 'c c++ python': 16, 'css html': 15, 'html javascript': 15, 'c makefile': 14, 'css html python': 14, 'html javascript python': 14, 'c++ shell': 13, 'c makefile python': 13, 'c++ python shell': 13, 'dockerfile shell': 13, 'dockerfile python shell': 13, 'css javascript': 12, 'c c++ shell': 12, 'c c++ python shell': 12, 'css javascript python': 11, 'c makefile shell': 11, 'c++ makefile': 10, 'html makefile': 10, 'c++ makefile python': 10, 'html makefile python': 10, 'c makefile python shell': 10, 'javascript shell': 10, 'css shell': 10, 'css html javascript': 10, 'c html': 9, 'c c++ makefile': 9, 'html makefile shell': 9, 'c c++ makefile python': 9, 'dockerfile makefile': 9, 'javascript python shell': 9, 'css html shell': 9, 'css python shell': 9, 'css html javascript python': 9, 'c html shell': 8, 'c++ makefile shell': 8, 'c++ makefile python shell': 8, 'css html python shell': 8, 'css makefile': 8, 'html javascript shell': 8, 'batchfile html': 7, 'c++ html': 7, 'batchfile html shell': 7, 'c c++ makefile shell': 7, 'html javascript python shell': 7, 'dockerfile html': 6, 'css html makefile': 6, 'css makefile shell': 6, 'dockerfile html shell': 5, 'javascript makefile': 5, 'css html makefile shell': 5, 'ruby shell': 4, 'javascript makefile shell': 4, 'dockerfile javascript': 4, 'css javascript shell': 4, 'dockerfile html javascript': 4, 'html javascript makefile': 4, 'css html javascript shell': 4, 'c cmake': 3, 'c++ cmake': 3, 'cmake shell': 3, 'c c++ cmake': 3, 'c cmake shell': 3, 'c++ cmake shell': 3, 'c objective-c': 3, 'html ruby': 3, 'objective-c shell': 3, 'c objective-c shell': 3, 'html ruby shell': 3, 'css dockerfile': 3, 'css javascript makefile': 3, 'dockerfile javascript shell': 3, 'css javascript python shell': 3, 'html javascript makefile shell': 3, 'css html javascript python shell': 3, 'c++ objective-c': 2, 'c c++ objective-c': 2, 'html java': 2, 'java shell': 1, 'html java shell': 1}"
8,189,"['library', 'client library', 'standard library', 'client', 'standard', 'google', 'level', 'lightweight', 'processing library', 'modern library']","{'c c++': 63, 'html javascript': 58, 'c shell': 57, 'python shell': 57, 'makefile shell': 55, 'c++ shell': 54, 'c++ cmake': 51, 'c c++ shell': 48, 'c cmake': 44, 'c c++ cmake': 43, 'html shell': 43, 'c makefile': 43, 'css html': 42, 'c python': 42, 'css javascript': 41, 'c++ python': 41, 'cmake shell': 41, 'c++ cmake shell': 41, 'c++ makefile': 41, 'c python shell': 40, 'c cmake shell': 37, 'c++ python shell': 37, 'c c++ makefile': 37, 'css html javascript': 36, 'batchfile shell': 36, 'c makefile shell': 36, 'c c++ python': 35, 'javascript shell': 35, 'c c++ python shell': 33, 'c++ makefile shell': 33, 'c c++ makefile shell': 31, 'makefile python': 28, 'java shell': 27, 'css shell': 27, 'c objective-c': 24, 'makefile python shell': 24, 'html javascript shell': 24, 'c makefile python': 23, 'c makefile python shell': 22, 'dockerfile shell': 21, 'c++ makefile python': 21, 'c++ objective-c': 20, 'objective-c shell': 20, 'c c++ makefile python': 20, 'html python': 20, 'html makefile': 20, 'c c++ objective-c': 19, 'c++ makefile python shell': 19, 'css html shell': 19, 'c objective-c shell': 17, 'batchfile python': 17, 'batchfile html': 17, 'javascript python': 17, 'html makefile shell': 16, 'css javascript shell': 16, 'html java': 15, 'batchfile html shell': 15, 'c++ html': 15, 'css makefile': 15, 'ruby shell': 15, 'javascript makefile': 15, 'c html': 14, 'html python shell': 14, 'html ruby': 13, 'css python': 13, 'css html javascript shell': 13, 'html java shell': 12, 'html javascript python': 12, 'css html makefile': 12, 'css makefile shell': 12, 'dockerfile makefile': 12, 'javascript ruby': 11, 'c html shell': 11, 'dockerfile javascript': 11, 'dockerfile python': 10, 'html javascript ruby': 10, 'dockerfile html': 10, 'javascript python shell': 10, 'css html python': 10, 'dockerfile python shell': 9, 'dockerfile html javascript': 9, 'css python shell': 9, 'css html makefile shell': 9, 'javascript makefile shell': 9, 'html javascript makefile': 9, 'css ruby': 8, 'css html ruby': 8, 'dockerfile javascript shell': 8, 'css javascript python': 8, 'dockerfile html shell': 7, 'html makefile python': 7, 'css javascript makefile': 7, 'css html javascript python': 7, 'html ruby shell': 7, 'html javascript python shell': 6, 'css html python shell': 6, 'css dockerfile': 6, 'html javascript makefile shell': 5, 'css javascript python shell': 4, 'css html javascript python shell': 3}"
9,2240,"['client', 'server', 'editor', 'plugin', 'system', 'command', 'engine', 'implementation', 'project', 'android']","{'html javascript': 964, 'css html': 874, 'css javascript': 865, 'html shell': 785, 'css html javascript': 761, 'python shell': 694, 'javascript shell': 690, 'makefile shell': 656, 'css shell': 588, 'html javascript shell': 559, 'css html shell': 512, 'c shell': 497, 'css javascript shell': 490, 'c c++': 463, 'css html javascript shell': 447, 'makefile python': 447, 'c++ shell': 431, 'html python': 429, 'c makefile': 399, 'makefile python shell': 392, 'dockerfile shell': 385, 'c c++ shell': 382, 'html makefile': 371, 'c makefile shell': 357, 'html python shell': 355, 'c++ makefile': 353, 'javascript python': 350, 'c python': 339, 'ruby shell': 332, 'java shell': 328, 'batchfile shell': 328, 'c++ python': 315, 'c c++ makefile': 315, 'javascript makefile': 311, 'c++ makefile shell': 311, 'css python': 310, 'html makefile shell': 307, 'c python shell': 303, 'javascript python shell': 291, 'html javascript python': 285, 'c c++ makefile shell': 282, 'c++ python shell': 278, 'css html python': 276, 'c c++ python': 276, 'html ruby': 272, 'css makefile': 269, 'css python shell': 257, 'css javascript python': 254, 'c makefile python': 252, 'javascript makefile shell': 251, 'html javascript makefile': 249, 'c c++ python shell': 248, 'dockerfile html': 243, 'html javascript python shell': 239, 'html java': 237, 'c makefile python shell': 237, 'css html javascript python': 235, 'dockerfile javascript': 233, 'c++ makefile python': 233, 'css html makefile': 233, 'c html': 233, 'dockerfile python': 232, 'dockerfile makefile': 230, 'css html python shell': 229, 'c objective-c': 227, 'objective-c shell': 224, 'javascript ruby': 223, 'css makefile shell': 222, 'c++ cmake': 216, 'c++ makefile python shell': 215, 'css javascript makefile': 214, 'html makefile python': 214, 'css javascript python shell': 213, 'dockerfile python shell': 211, 'c++ html': 208, 'dockerfile html shell': 208, 'c c++ makefile python': 208, 'html javascript makefile shell': 207, 'css ruby': 203, 'batchfile html': 203, 'c cmake': 201, 'cmake shell': 200, 'dockerfile javascript shell': 198, 'css html makefile shell': 197, 'c html shell': 197, 'css html javascript python shell': 196, 'css dockerfile': 194, 'c c++ cmake': 193, 'c objective-c shell': 192, 'html javascript ruby': 191, 'html ruby shell': 191, 'c++ objective-c': 191, 'dockerfile html javascript': 190, 'c++ cmake shell': 188, 'batchfile python': 187, 'c c++ objective-c': 187, 'html java shell': 186, 'css html ruby': 186, 'batchfile html shell': 183, 'c cmake shell': 178}"
