antecedents,consequents,confidience,cluster_topics
0,perl_shell,1.0,['enterprise edition']
1,php_ruby,1.0,['flexible database']
3,c_objective-c,0.6666666666666666,['binding cocosd iphone iphone']
4,php_ruby,1.0,['emacs enhance development experience']
7,objective-c_python,1.0,['description']
9,javascript_ruby,1.0,['eschulte']
10,python_shell,1.0,['browser']
11,c_ruby,1.0,['setting']
12,perl_shell,1.0,['compiler']
14,perl_shell,1.0,['content resolver']
27,c_javascript,1.0,['rapid development']
48,c_javascript,1.0,['frill merbivore']
18,python_shell,1.0,['jailbreakme']
32,javascript_shell,1.0,['diceshaker']
42,javascript_shell,1.0,['photo mobile device']
21,perl_shell,1.0,['natural language processing']
17,python_shell,1.0,['jquery']
16,perl_php,1.0,['store']
24,c_python,1.0,['current clipboard']
19,c_python,1.0,['neato lidar']
28,c++_shell,1.0,['reader']
23,javascript_ruby,1.0,['google super']
31,python_shell,1.0,['global illumination renderer']
37,objective-c_shell,1.0,['source receiver']
25,c_shell,1.0,['gnustep']
35,perl_ruby,1.0,['reference implementation schema language']
36,c_objective-c,1.0,['email handler']
34,c_shell,1.0,['value store']
39,python_shell,1.0,['groupe clone']
38,c_shell,1.0,['friendly abstraction']
41,c_shell,1.0,['suicide mission']
43,python_shell,1.0,['value storage system']
40,perl_ruby,1.0,['objective']
45,javascript_ruby,1.0,['pivotal tracker']
47,c_java,1.0,['google android']
49,c_shell,1.0,['language group']
46,ruby_shell,1.0,['christian borgelt apriori']
30,php_ruby,1.0,['twitter']
26,python_shell,1.0,['florenzano django']
33,c_python,1.0,['simplegeo geohash']
15,c_shell,0.6666666666666666,['cocoa touch']
