year,css javascript,css html javascript,javascript ruby,html javascript,objective-c ruby,c objective-c,c c++,javascript python,javascript php,python shell,javascript shell,c c++ objective-c,ruby shell,css html,css javascript ruby,java javascript,java shell,css html javascript shell,c shell,c++ objective-c,c objective-c ruby,c python,css ruby,c c++ shell,javascript objective-c,css html javascript ruby,c c++ python,css html javascript python,css javascript python,objective-c ruby shell,css javascript php,c++ javascript,go shell,css javascript shell,html java,css html javascript php,html python,html javascript shell,css html javascript python shell,html ruby,css html ruby,c c++ python shell,c# javascript,html javascript python,html javascript ruby,css html java javascript,css python,go javascript,html java javascript
2010,30,30,1,30,9,2,5,3,4,17,14,24,15,30,30,19,7,30,18,7,20,16,30,4,21,30,8,30,30,30,30,8,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30
2011,30,30,1,30,20,2,6,3,4,7,5,16,8,30,30,12,23,30,11,21,14,21,30,18,2,30,13,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,24,30,30,30,30,30,30
2012,30,30,1,30,11,3,4,2,5,10,7,6,19,30,30,13,8,30,22,12,4,15,30,9,14,30,23,30,30,30,30,7,30,30,30,30,30,30,30,30,30,24,28,30,30,30,30,30,30
2013,1,30,3,30,2,5,4,6,7,12,11,10,9,30,8,16,14,30,17,21,18,23,13,24,29,30,25,30,15,30,22,22,30,27,30,30,30,30,30,30,30,16,26,30,30,30,14,30,30
2014,1,30,8,30,2,5,4,17,16,7,25,10,21,30,3,30,13,30,16,15,22,13,6,26,17,30,18,30,9,19,11,9,28,12,30,30,30,30,30,30,30,20,9,30,30,30,27,3,30
2015,2,1,9,4,3,5,6,13,27,12,11,16,14,7,17,4,2,10,1,15,21,8,29,24,28,19,30,25,20,18,23,19,16,13,11,12,27,18,26,22,28,6,6,10,24,4,14,1,27
2016,2,1,13,3,4,9,5,10,15,17,14,12,30,7,23,29,14,20,7,23,13,3,11,24,1,6,19,16,14,18,21,11,25,26,22,4,28,8,6,24,26,7,10,5,25,1,16,21,8
2017,3,1,4,2,4,9,17,12,25,6,10,29,23,5,7,22,16,7,8,9,28,13,18,19,21,12,23,8,30,15,27,10,21,1,15,11,20,26,24,13,19,5,11,28,10,11,1,8,2
2018,3,1,2,2,4,17,9,14,8,7,16,1,21,5,28,5,8,6,6,23,22,19,11,29,29,25,23,13,16,9,8,28,11,2,30,15,10,18,26,4,24,19,27,27,15,6,26,18,23
2019,3,1,22,2,5,17,12,14,9,4,13,6,5,7,23,27,19,8,10,18,2,18,16,30,24,15,28,16,15,26,30,27,11,7,9,3,21,17,25,29,1,27,19,23,21,18,15,5,8
